fund_code,fund_name,fund_name_clean,fund_status,fund_detail_url,fund_domicile,risk_level,nav,nav_date,perf_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,perf_ytd_pct,annual_return_date,annual_return_2021_pct,annual_return_2022_pct,annual_return_2023_pct,annual_return_2024_pct,annual_return_2025_pct,doc_prospectus,doc_annual_report,doc_quarterly_report,doc_semi_annual_report,doc_monthly_report,doc_fund_contract,doc_product_summary,doc_offering_announcement,doc_all_announcements,xueqiu_link
000011,华夏大盘精选证券投资基金（暂停申购）,华夏大盘精选证券投资基金,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000011,Mainland Securities Fund,3,24.971,2026-05-28,+1.27,+13.25,+19.20,+33.87,+72.56,+27.64,2026-05-28,+4.69,-21.34,-15.50,+10.79,+33.07,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=592916602,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653245590,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656846742,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614245193,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=456418584,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=593327839,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658045588,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000011,https://danjuanfunds.com/funding/000011
000037,[仅电子渠道]广发景宁纯债债券型证券投资基金A类,广发景宁纯债债券型证券投资基金A类,online_only,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000037,Mainland Securities Fund,3,1.2116,2026-05-28,+0.02,+0.37,+1.12,+1.85,+2.61,+1.71,2026-05-28,+6.39,+1.90,+5.62,+4.76,+1.77,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=659467642,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652931994,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656817404,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614236191,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=352599551,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=659466743,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658038067,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000037,https://danjuanfunds.com/funding/000037
000043,嘉实美国成长股票（QDII）-人民币,嘉实美国成长股票-人民币,qdii,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000043,Mainland Securities Fund,4,6.44,2026-05-27,+0.00,+6.91,+15.31,+11.92,+32.98,+12.88,2026-05-27,+22.45,-20.82,+38.83,+32.68,+15.65,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=660680555,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=652994192,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656940913,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613841288,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=564201820,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=660704709,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658047767,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000043,https://danjuanfunds.com/funding/000043
000045,工银瑞信产业债债券型证券投资基金（暂停申购）,工银瑞信产业债债券型证券投资基金,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000045,Mainland Securities Fund,3,1.614,2026-05-28,+0.00,+0.81,+0.69,+3.53,+8.54,+2.67,2026-05-28,+4.92,-2.75,+0.65,+6.62,+6.07,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632993959,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653184216,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656941617,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613802240,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=333937975,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632962641,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=374112303,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000045,https://danjuanfunds.com/funding/000045
000046,工银瑞信产业债债券型证券投资基金B类（暂停申购）,工银瑞信产业债债券型证券投资基金B类,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000046,Mainland Securities Fund,3,1.551,2026-05-28,+0.06,+0.85,+0.58,+3.40,+8.16,+2.51,2026-05-28,+4.54,-3.14,+0.30,+6.23,+5.66,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632993959,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653184216,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656941617,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613802240,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=333937975,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632962608,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=374112303,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000046,https://danjuanfunds.com/funding/000046
000051,[仅电子渠道]华夏沪深300交易型开放式指数证券投资基金联接基金A类,华夏沪深300交易型开放式指数证券投资基金联接基金A类,online_only,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000051,Mainland Securities Fund,4,1.8489,2026-05-28,+0.12,+3.28,+4.36,+8.84,+29.85,+6.25,2026-05-28,-3.28,-19.20,-8.99,+16.82,+19.87,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=612231787,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653283478,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656849149,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614257094,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=554675066,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=592971394,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=46257504,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000051,https://danjuanfunds.com/funding/000051
000084,博时安盈债券型证券投资基金A类,博时安盈债券型证券投资基金A类,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000084,Mainland Securities Fund,3,1.2602,2026-05-28,+0.01,+0.11,+0.41,+0.76,+1.52,+0.63,2026-05-28,+3.51,+1.88,+3.45,+2.98,+1.45,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632209889,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653242548,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656834825,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613854168,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632212930,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632215641,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658036436,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000084,https://danjuanfunds.com/funding/000084
000085,博时安盈债券型证券投资基金C类,博时安盈债券型证券投资基金C类,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000085,Mainland Securities Fund,3,1.2285,2026-05-28,+0.01,+0.09,+0.33,+0.60,+1.22,+0.51,2026-05-28,+3.21,+1.57,+3.15,+2.66,+1.15,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632209889,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653242548,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656834825,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=613854168,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632212930,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=632215375,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658036436,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000085,https://danjuanfunds.com/funding/000085
000171,易方达裕丰回报债券型证券投资基金（暂停申购）,易方达裕丰回报债券型证券投资基金,suspended,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000171,Mainland Securities Fund,3,2.106,2026-05-28,+0.62,+4.67,+6.96,+11.72,+14.58,+10.67,2026-05-28,+6.24,-4.01,+1.51,+8.88,+4.16,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=643243732,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653284791,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656813441,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614558155,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=405111354,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=661296566,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658047873,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000171,https://danjuanfunds.com/funding/000171
000191,富国信用债债券型证券投资基金,富国信用债债券型证券投资基金,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Overview.aspx?code=000191,Mainland Securities Fund,3,1.3538,2026-05-28,+0.03,+0.36,+1.17,+1.87,+2.36,+1.84,2026-05-28,+5.60,+1.90,+4.67,+4.58,+1.10,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=592124032,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=653238176,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=656887816,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=614534584,,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=464105613,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=591163719,https://fundsresearch.investments.hsbc.com.cn/rbwm/Casdocument.aspx?documentid=658045835,https://fundsresearch.investments.hsbc.com.cn/rbwm/FundDocuments.aspx?query=all&fund=000191,https://danjuanfunds.com/funding/000191
