fund_code,fund_name,fund_name_clean,fund_status,fund_detail_url,fund_domicile,risk_level,nav,nav_date,perf_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,perf_ytd_pct,annual_return_date,annual_return_2021_pct,annual_return_2022_pct,annual_return_2023_pct,annual_return_2024_pct,annual_return_2025_pct,doc_prospectus,doc_annual_report,doc_quarterly_report,doc_semi_annual_report,doc_monthly_report,doc_fund_contract,doc_product_summary,doc_offering_announcement,doc_all_announcements,xueqiu_link
000011,华夏大盘精选证券投资基金（暂停申购）,华夏大盘精选证券投资基金,suspended,Overview.aspx?code=000011,Mainland Securities Fund,3,23.555,2026-06-08,-2.33,+1.45,+15.15,+22.55,+60.79,+20.40,2026-06-08,+4.69,-21.34,-15.50,+10.79,+33.07,Casdocument.aspx?documentid=663023048,Casdocument.aspx?documentid=653245590,Casdocument.aspx?documentid=656846742,Casdocument.aspx?documentid=614245193,,Casdocument.aspx?documentid=456418584,Casdocument.aspx?documentid=663043205,Casdocument.aspx?documentid=658045588,FundDocuments.aspx?query=all&fund=000011,https://danjuanfunds.com/funding/000011
000037,[仅电子渠道]广发景宁纯债债券型证券投资基金A类,广发景宁纯债债券型证券投资基金A类,online_only,Overview.aspx?code=000037,Mainland Securities Fund,3,1.2124,2026-06-08,-0.02,+0.40,+1.05,+2.04,+2.59,+1.78,2026-06-08,+6.39,+1.90,+5.62,+4.76,+1.77,Casdocument.aspx?documentid=659467642,Casdocument.aspx?documentid=652931994,Casdocument.aspx?documentid=656817404,Casdocument.aspx?documentid=614236191,,Casdocument.aspx?documentid=352599551,Casdocument.aspx?documentid=659466743,Casdocument.aspx?documentid=658038067,FundDocuments.aspx?query=all&fund=000037,https://danjuanfunds.com/funding/000037
000043,嘉实美国成长股票（QDII）-人民币,嘉实美国成长股票-人民币,qdii,Overview.aspx?code=000043,Mainland Securities Fund,4,6.245,2026-06-05,-4.48,+2.98,+13.20,+7.62,+27.66,+9.47,2026-06-05,+22.45,-20.82,+38.83,+32.68,+15.65,Casdocument.aspx?documentid=664203861,Casdocument.aspx?documentid=652994192,Casdocument.aspx?documentid=656940913,Casdocument.aspx?documentid=613841288,,Casdocument.aspx?documentid=564201820,Casdocument.aspx?documentid=664203855,Casdocument.aspx?documentid=658047767,FundDocuments.aspx?query=all&fund=000043,https://danjuanfunds.com/funding/000043
000045,工银瑞信产业债债券型证券投资基金（暂停申购）,工银瑞信产业债债券型证券投资基金,suspended,Overview.aspx?code=000045,Mainland Securities Fund,3,1.599,2026-06-08,-0.44,-0.44,-0.12,+2.37,+7.17,+1.72,2026-06-08,+4.92,-2.75,+0.65,+6.62,+6.07,Casdocument.aspx?documentid=632993959,Casdocument.aspx?documentid=653184216,Casdocument.aspx?documentid=656941617,Casdocument.aspx?documentid=613802240,,Casdocument.aspx?documentid=333937975,Casdocument.aspx?documentid=632962641,Casdocument.aspx?documentid=374112303,FundDocuments.aspx?query=all&fund=000045,https://danjuanfunds.com/funding/000045
000046,工银瑞信产业债债券型证券投资基金B类（暂停申购）,工银瑞信产业债债券型证券投资基金B类,suspended,Overview.aspx?code=000046,Mainland Securities Fund,3,1.536,2026-06-08,-0.45,-0.52,-0.26,+2.13,+6.74,+1.52,2026-06-08,+4.54,-3.14,+0.30,+6.23,+5.66,Casdocument.aspx?documentid=632993959,Casdocument.aspx?documentid=653184216,Casdocument.aspx?documentid=656941617,Casdocument.aspx?documentid=613802240,,Casdocument.aspx?documentid=333937975,Casdocument.aspx?documentid=632962608,Casdocument.aspx?documentid=374112303,FundDocuments.aspx?query=all&fund=000046,https://danjuanfunds.com/funding/000046
000051,[仅电子渠道]华夏沪深300交易型开放式指数证券投资基金联接基金A类,华夏沪深300交易型开放式指数证券投资基金联接基金A类,online_only,Overview.aspx?code=000051,Mainland Securities Fund,4,1.7784,2026-06-08,-2.03,-2.89,+1.43,+2.60,+23.57,+2.20,2026-06-08,-3.28,-19.20,-8.99,+16.82,+19.87,Casdocument.aspx?documentid=663022813,Casdocument.aspx?documentid=653283478,Casdocument.aspx?documentid=656849149,Casdocument.aspx?documentid=614257094,,Casdocument.aspx?documentid=554675066,Casdocument.aspx?documentid=663039504,Casdocument.aspx?documentid=46257504,FundDocuments.aspx?query=all&fund=000051,https://danjuanfunds.com/funding/000051
000084,博时安盈债券型证券投资基金A类,博时安盈债券型证券投资基金A类,,Overview.aspx?code=000084,Mainland Securities Fund,3,1.2606,2026-06-08,+0.01,+0.11,+0.39,+0.77,+1.51,+0.66,2026-06-08,+3.51,+1.88,+3.45,+2.98,+1.45,Casdocument.aspx?documentid=632209889,Casdocument.aspx?documentid=653242548,Casdocument.aspx?documentid=656834825,Casdocument.aspx?documentid=613854168,,Casdocument.aspx?documentid=632212930,Casdocument.aspx?documentid=632215641,Casdocument.aspx?documentid=658036436,FundDocuments.aspx?query=all&fund=000084,https://danjuanfunds.com/funding/000084
000085,博时安盈债券型证券投资基金C类,博时安盈债券型证券投资基金C类,,Overview.aspx?code=000085,Mainland Securities Fund,3,1.2287,2026-06-08,+0.00,+0.08,+0.31,+0.61,+1.19,+0.53,2026-06-08,+3.21,+1.57,+3.15,+2.66,+1.15,Casdocument.aspx?documentid=632209889,Casdocument.aspx?documentid=653242548,Casdocument.aspx?documentid=656834825,Casdocument.aspx?documentid=613854168,,Casdocument.aspx?documentid=632212930,Casdocument.aspx?documentid=632215375,Casdocument.aspx?documentid=658036436,FundDocuments.aspx?query=all&fund=000085,https://danjuanfunds.com/funding/000085
000171,易方达裕丰回报债券型证券投资基金（暂停申购）,易方达裕丰回报债券型证券投资基金,suspended,Overview.aspx?code=000171,Mainland Securities Fund,3,2.08,2026-06-08,-0.81,+1.66,+5.85,+9.70,+12.68,+9.30,2026-06-08,+6.24,-4.01,+1.51,+8.88,+4.16,Casdocument.aspx?documentid=643243732,Casdocument.aspx?documentid=653284791,Casdocument.aspx?documentid=656813441,Casdocument.aspx?documentid=614558155,,Casdocument.aspx?documentid=405111354,Casdocument.aspx?documentid=661296566,Casdocument.aspx?documentid=658047873,FundDocuments.aspx?query=all&fund=000171,https://danjuanfunds.com/funding/000171
000191,富国信用债债券型证券投资基金,富国信用债债券型证券投资基金,,Overview.aspx?code=000191,Mainland Securities Fund,3,1.3542,2026-06-08,-0.03,+0.36,+1.04,+2.05,+2.33,+1.87,2026-06-08,+5.60,+1.90,+4.67,+4.58,+1.10,Casdocument.aspx?documentid=664298418,Casdocument.aspx?documentid=653238176,Casdocument.aspx?documentid=656887816,Casdocument.aspx?documentid=614534584,,Casdocument.aspx?documentid=464105613,Casdocument.aspx?documentid=664298614,Casdocument.aspx?documentid=658045835,FundDocuments.aspx?query=all&fund=000191,https://danjuanfunds.com/funding/000191
000205,易方达投资级信用债债券型证券投资基金A类,易方达投资级信用债债券型证券投资基金A类,,Overview.aspx?code=000205,Mainland Securities Fund,3,1.1631,2026-06-08,-0.04,+0.40,+0.93,+1.92,+2.41,+1.66,2026-06-08,+4.77,+2.29,+4.72,+4.58,+1.28,Casdocument.aspx?documentid=643243708,Casdocument.aspx?documentid=653284726,Casdocument.aspx?documentid=656813253,Casdocument.aspx?documentid=614557370,,Casdocument.aspx?documentid=601290540,Casdocument.aspx?documentid=661295706,Casdocument.aspx?documentid=55769092,FundDocuments.aspx?query=all&fund=000205,https://danjuanfunds.com/funding/000205
000218,国泰黄金交易型开放式证券投资基金联接基金A类,国泰黄金交易型开放式证券投资基金联接基金A类,,Overview.aspx?code=000218,Mainland Securities Fund,5,3.4031,2026-06-08,-3.39,-8.86,-17.48,-1.27,+20.14,-3.36,2026-06-08,-4.87,+9.94,+16.45,+26.80,+57.21,Casdocument.aspx?documentid=624158231,Casdocument.aspx?documentid=652948232,Casdocument.aspx?documentid=656941328,Casdocument.aspx?documentid=614261744,,Casdocument.aspx?documentid=550508800,Casdocument.aspx?documentid=624207554,Casdocument.aspx?documentid=658048807,FundDocuments.aspx?query=all&fund=000218,https://danjuanfunds.com/funding/000218
000242,景顺长城策略精选灵活配置混合型证券投资基金A类（暂停申购）,景顺长城策略精选灵活配置混合型证券投资基金A类,suspended,Overview.aspx?code=000242,Mainland Securities Fund,4,4.173,2026-06-08,-3.31,-5.72,+4.88,+23.72,+52.35,+23.21,2026-06-08,+49.13,-21.33,+11.79,+3.16,+17.81,Casdocument.aspx?documentid=662233833,Casdocument.aspx?documentid=652384247,Casdocument.aspx?documentid=656835730,Casdocument.aspx?documentid=613827494,,Casdocument.aspx?documentid=464117698,Casdocument.aspx?documentid=662234839,Casdocument.aspx?documentid=658036546,FundDocuments.aspx?query=all&fund=000242,https://danjuanfunds.com/funding/000242
000251,[仅电子渠道]工银瑞信金融地产行业混合型证券投资基金A类,工银瑞信金融地产行业混合型证券投资基金A类,online_only,Overview.aspx?code=000251,Mainland Securities Fund,4,2.72,2026-06-08,+0.11,-5.19,-5.98,-6.59,-4.09,-7.36,2026-06-08,+0.26,-8.22,-17.54,+34.01,+9.10,Casdocument.aspx?documentid=595288778,Casdocument.aspx?documentid=653184512,Casdocument.aspx?documentid=656941680,Casdocument.aspx?documentid=613802182,,Casdocument.aspx?documentid=615524128,Casdocument.aspx?documentid=595288575,Casdocument.aspx?documentid=185492400,FundDocuments.aspx?query=all&fund=000251,https://danjuanfunds.com/funding/000251
000307,易方达黄金交易型开放式证券投资基金联接基金A类,易方达黄金交易型开放式证券投资基金联接基金A类,,Overview.aspx?code=000307,Mainland Securities Fund,5,3.0916,2026-06-08,-3.37,-8.88,-17.46,-1.52,+19.75,-3.56,2026-06-08,-4.73,+8.98,+15.98,+26.14,+55.78,Casdocument.aspx?documentid=637586209,Casdocument.aspx?documentid=653284795,Casdocument.aspx?documentid=656813239,Casdocument.aspx?documentid=614556640,,Casdocument.aspx?documentid=258099354,Casdocument.aspx?documentid=661295644,Casdocument.aspx?documentid=658045499,FundDocuments.aspx?query=all&fund=000307,https://danjuanfunds.com/funding/000307
000311,景顺长城沪深300指数增强型证券投资基金 （暂停申购）,景顺长城沪深300指数增强型证券投资基金,suspended,Overview.aspx?code=000311,Mainland Securities Fund,3,2.794,2026-06-08,-2.17,-2.75,+2.65,+6.24,+27.87,+5.51,2026-06-08,-2.61,-20.96,-9.94,+13.00,+20.86,Casdocument.aspx?documentid=633145004,Casdocument.aspx?documentid=652388545,Casdocument.aspx?documentid=656836109,Casdocument.aspx?documentid=613828079,,Casdocument.aspx?documentid=576455026,Casdocument.aspx?documentid=633260188,Casdocument.aspx?documentid=374112295,FundDocuments.aspx?query=all&fund=000311,https://danjuanfunds.com/funding/000311
000385,景顺长城景颐双利债券型证券投资基金A类,景顺长城景颐双利债券型证券投资基金A类,,Overview.aspx?code=000385,Mainland Securities Fund,3,1.879,2026-06-08,-0.58,-1.00,-0.79,+2.18,+8.30,+1.51,2026-06-08,+8.37,-1.59,+2.19,+7.89,+8.25,Casdocument.aspx?documentid=633145783,Casdocument.aspx?documentid=652383658,Casdocument.aspx?documentid=656836242,Casdocument.aspx?documentid=613827584,,Casdocument.aspx?documentid=341658185,Casdocument.aspx?documentid=633260007,Casdocument.aspx?documentid=658036106,FundDocuments.aspx?query=all&fund=000385,https://danjuanfunds.com/funding/000385
000386,景顺长城景颐双利债券型证券投资基金C类,景顺长城景颐双利债券型证券投资基金C类,,Overview.aspx?code=000386,Mainland Securities Fund,3,1.788,2026-06-08,-0.56,-1.00,-0.94,+2.00,+7.91,+1.30,2026-06-08,+7.88,-1.97,+1.74,+7.56,+7.82,Casdocument.aspx?documentid=633145783,Casdocument.aspx?documentid=652383658,Casdocument.aspx?documentid=656836242,Casdocument.aspx?documentid=613827584,,Casdocument.aspx?documentid=341658185,Casdocument.aspx?documentid=633260007,Casdocument.aspx?documentid=658036106,FundDocuments.aspx?query=all&fund=000386,https://danjuanfunds.com/funding/000386
000457,摩根核心成长股票型证券投资基金（暂停申购）,摩根核心成长股票型证券投资基金,suspended,Overview.aspx?code=000457,Mainland Securities Fund,4,3.7168,2026-06-08,-1.63,-10.80,+11.98,+8.77,+64.38,+8.34,2026-06-08,+17.98,-24.50,-16.10,+14.98,+58.91,Casdocument.aspx?documentid=598113730,Casdocument.aspx?documentid=653189730,Casdocument.aspx?documentid=656852220,Casdocument.aspx?documentid=613806294,,Casdocument.aspx?documentid=563077640,Casdocument.aspx?documentid=598112949,Casdocument.aspx?documentid=81076006,FundDocuments.aspx?query=all&fund=000457,https://danjuanfunds.com/funding/000457
000586,景顺长城中小板创业板精选股票型证券投资基金（暂停申购）,景顺长城中小板创业板精选股票型证券投资基金,suspended,Overview.aspx?code=000586,Mainland Securities Fund,4,3.776,2026-06-08,-3.43,+2.33,+20.45,+40.42,+88.71,+40.27,2026-06-08,+28.54,-20.38,+9.19,+1.50,+24.23,Casdocument.aspx?documentid=633145601,Casdocument.aspx?documentid=652383668,Casdocument.aspx?documentid=656836149,Casdocument.aspx?documentid=613828156,,Casdocument.aspx?documentid=464117980,Casdocument.aspx?documentid=633261709,Casdocument.aspx?documentid=658049505,FundDocuments.aspx?query=all&fund=000586,https://danjuanfunds.com/funding/000586
000595,嘉实泰和混合型证券投资基金（暂停申购）,嘉实泰和混合型证券投资基金,suspended,Overview.aspx?code=000595,Mainland Securities Fund,4,3.811,2026-06-08,-2.58,-0.08,+7.93,+22.07,+43.97,+19.32,2026-06-08,-6.98,-18.41,-21.59,+0.07,+19.58,Casdocument.aspx?documentid=658212446,Casdocument.aspx?documentid=652994231,Casdocument.aspx?documentid=656939119,Casdocument.aspx?documentid=613839433,,Casdocument.aspx?documentid=456416630,Casdocument.aspx?documentid=598362822,Casdocument.aspx?documentid=658045877,FundDocuments.aspx?query=all&fund=000595,https://danjuanfunds.com/funding/000595
000746,[仅电子渠道]招商行业精选股票型证券投资基金,招商行业精选股票型证券投资基金,online_only,Overview.aspx?code=000746,Mainland Securities Fund,4,5.934,2026-06-08,-1.25,-11.05,-10.58,+6.54,+33.11,+3.71,2026-06-08,-11.94,-12.95,-2.05,+34.31,+33.13,Casdocument.aspx?documentid=659287372,Casdocument.aspx?documentid=653329628,Casdocument.aspx?documentid=656939809,Casdocument.aspx?documentid=613778680,,Casdocument.aspx?documentid=456418006,Casdocument.aspx?documentid=659287132,Casdocument.aspx?documentid=658045892,FundDocuments.aspx?query=all&fund=000746,https://danjuanfunds.com/funding/000746
000849,汇丰晋信双核策略混合型证券投资基金 A类,汇丰晋信双核策略混合型证券投资基金 A类,,Overview.aspx?code=000849,Mainland Securities Fund,4,1.8909,2026-06-08,-2.10,-8.47,-11.49,+5.25,+44.45,-1.01,2026-06-08,-0.74,-29.03,-0.80,+5.61,+55.99,Casdocument.aspx?documentid=599595248,Casdocument.aspx?documentid=653243618,Casdocument.aspx?documentid=656934901,Casdocument.aspx?documentid=613823854,,Casdocument.aspx?documentid=480594943,Casdocument.aspx?documentid=599607483,Casdocument.aspx?documentid=658047345,FundDocuments.aspx?query=all&fund=000849,https://danjuanfunds.com/funding/000849
